NBLJosephineVoto	{"userID":"2486077261","text":"!  #NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto   PªFº4%","created_at":"20140510-222256","id_str":"465255696196698112"}
BalkanNeedsDemi	{"userID":"1405135070","text":"! #BalkanNeedsDemi @ddlovato !","created_at":"20140516-171832","id_str":"467353418622042112"}
EnContactoConMaduroNro10	{"userID":"142764116","text":"! #EnContactoConMaduroNro10 #MisionesHijasDeChavez #PuebloLibreYSoberano\"","created_at":"20140604-041435","id_str":"474041500578230272"}
MisionesHijasDeChavez	{"userID":"142764116","text":"! #EnContactoConMaduroNro10 #MisionesHijasDeChavez #PuebloLibreYSoberano\"","created_at":"20140604-041435","id_str":"474041500578230272"}
PuebloLibreYSoberano	{"userID":"142764116","text":"! #EnContactoConMaduroNro10 #MisionesHijasDeChavez #PuebloLibreYSoberano\"","created_at":"20140604-041435","id_str":"474041500578230272"}
SomaKarartılmasın	{"userID":"1470121208","text":"! #SomaKarartılmasın","created_at":"20140518-191008","id_str":"468106279420833793"}
frenchiescantwaitforwwat	{"userID":"937565096","text":"! #frenchiescantwaitforwwat","created_at":"20140525-074817","id_str":"470471401275924480"}
selfie	{"userID":"1420431732","text":"! Gün geçmiyor ki yeni bir #selfie çılgınlığı baş göstermesin! http://t.co/zw1LwsKATt nJiBw4710","created_at":"20140509-144549","id_str":"464778271142727680"}
NBLAlinaVoto	{"userID":"1884266936","text":"! Jk if di #NBLAlinaVoto","created_at":"20140425-172007","id_str":"459743671877775360"}
FanArmy	{"userID":"538633452","text":"! My vote for #FanArmy goes to #RihannaNavy #iHeartAwards http://t.co/bSLUIdoydW","created_at":"20140328-221856","id_str":"449672011355156480"}
RihannaNavy	{"userID":"538633452","text":"! My vote for #FanArmy goes to #RihannaNavy #iHeartAwards http://t.co/bSLUIdoydW","created_at":"20140328-221856","id_str":"449672011355156480"}
iHeartAwards	{"userID":"538633452","text":"! My vote for #FanArmy goes to #RihannaNavy #iHeartAwards http://t.co/bSLUIdoydW","created_at":"20140328-221856","id_str":"449672011355156480"}
LRT	{"userID":"53296591","text":"! RT @HAZE_MOTIVATED: My G jus spoke facts !  ! ! #LRT","created_at":"20140426-145100","id_str":"460068533343649792"}
CeweQuat	{"userID":"80769676","text":"! RT @ceweQuat: \u201cPeople with goals succeed because they know where they're going\u201d \u2015 E. Nightingale #CeweQuat","created_at":"20140525-124410","id_str":"470545862771224577"}
